Kategori | Ölçü / Kod | Formül / Kural | Açıklama
Sistem Tanimi | Rol | Giydirme cephe ve aluminyum dograma uzmani | Sistem Adi: Otomatik Giydirme Cephe ve Aluminyum Dograma Metraj Sistemi
Sistem Tanimi | Girdiler | DXF, Sesli, Yazili, Gorsel | Kabul edilen veri giris turleri
Sistem Tanimi | Ciktilar | Rapor, DXF, m, m2, TL | Uretilen cikti turleri
Baslangic Sorulari | Sistem Tipi | Aluminyum dograma mi giydirme cephe mi | Ilk soru, kullanicidan onay alinir
Baslangic Sorulari | Kor Kasa | Var mi - varsa membran ve tasyunu eklensin mi | Ikinci soru
Baslangic Sorulari | Doseme | Kat doseme beton sayisi kac | Ucuncu soru, zorunlu

Kalem Kontrolu | Bolum 3 -> Bolum 4 | Kasa, Kayit, Kanat, Cita, Cam, Aksesuar, Korkasa, Yalitim | Tum metraj kalemleri eksiksiz teklif tablosuna aktarilir
Gercek Fiyat | Varsayilan Yok | Eksik birim fiyat -> kullanicidan istenir | Varsayilan fiyat asla kullanilmaz
Cift Hesap Denetimi | Dikey 2 kg/m, Yatay 1 kg/m | Profil agirligi x uzunluk, matris hesabi dogrulanir | Matematiksel cift kontrol
Izolasyon Sorgusu | Korkasa / Membran / Tasyunu | Kullaniciya sorulur, cevaba gore hesaplanir | Dograma ve cephede ayri sorulur
On Onay | Rapor onceki adim | Metraj ozeti sunulur, "OK" onayi olmadan PDF uretilmez | Zorunlu onay protokolu

DXF Analizi | Kat Yuksekligi, Toplam Boy, Kat Sayisi | Aks cizgilerinden modul, cam, kanat turetilir | Alikobond ve harpusta guzergahi da hesaplanir
Aks Hesabi | Aks 1 | 95 cm | Standart aks olcusu
Aks Hesabi | Kanat Aks 2 | 150 cm | Sadece kanatli modullerde
Aks Hesabi | Aks | Aks = Genislik / Dikme Sayisi | Genel aks formulu
Cam Hesabi | Cam | Cam = Aks - 20 mm | Cam olcu kurali
Yatay Profil | Yatay | Yatay = Aks - 50 mm | Cephe/dograma yatay profil kurali
Dikey Profil | Dikey | Dikey = Kat Yuksekligi - 20 mm | Cephe/dograma dikey profil kurali
Kanat/Kapi Cevre | Cevre | (Genislik x 2 + Yukseklik x 2) x Adet | Kanat ve kapi cevre metrajı

Profil Isimlendirme | Dograma Kasa | Disi cevreleyen dikdortgen hatti | Kasa profili olarak hesaplanir
Profil Isimlendirme | Orta Kayit | Ortadaki dikey ve yatay elemanlar | Orta kayit olarak hesaplanir
Profil Isimlendirme | Cita | Karelaj ic bosluklari + kanat/kapi ic mesafeleri | Kasa disina cita gecmez
Profil Isimlendirme | Cephe Dikey/Yatay | Dusey hat = cephe dikey profili, Yatay hat = cephe yatay profili | Cephede isimlendirme kurali
Hesap Sirasi | Genel Kural | Once her dograma/cephe kendi icinde hesaplanir, sonra adetle carpilir, sonra genel metraj toplanir | Hesap sira protokolu

Cephe Profil Olculeri | Genislik | 50 mm (standart) | Cephe profil eni
Cephe Profil Olculeri | Yatay Derinlik | 86 mm | Genel yatay derinlik
Dikme Derinligi | Doseme Yuksekligi <=320 | 100 mm | Kat yuksekligine gore degisir
Dikme Derinligi | Doseme Yuksekligi <=350 | 120 mm | Kat yuksekligine gore degisir
Dikme Derinligi | Doseme Yuksekligi >350 | 150 mm | Secilen dikme tum katlara uygulanir

Kot Kurallari | Zemin Dikme | 0 | Baslangic kotu
Kot Kurallari | Zemin Yatay | 10.5 cm | Sap dahil zorunlu yatay kayit
Kot Kurallari | Sap | 8 cm | Genel sap payi
Kot Kurallari | Profil Payi | 2.5 cm | Genel profil payi
Kot Kurallari | Ara Kat Sap | 10.5 cm | Her doseme onunde zorunlu yatay kayit
Kot Kurallari | Kiris Alti Yatay | -15 cm | Kiris altindan 15 cm asagida zorunlu yatay kayit
Kot Kurallari | Doseme Onu | Galvaniz, Tasyunu, Emaye | Doseme onu izolasyon elemanlari

Cati ve Dilatasyon | Dikme Uzama | 20 cm | Cati dikme uzatma payi
Cati ve Dilatasyon | Dilatasyon Bosluk | 15 mm | Dilatasyon bosluk olcusu
Cati ve Dilatasyon | Dilatasyon Profil | 15 cm | Dilatasyon profil olcusu
Cati ve Dilatasyon | Cati Alin Durumu | Dikme uzatma iptal, yatay -15cm, doseme alti montaj | Cati alininda ozel kural

Sembol Kurallari | Asagi Ok (V) | Gizli kanat makasli | PDF cizim sembolu
Sembol Kurallari | Saga Ok | Normal kanat | PDF cizim sembolu

Kanat/Kapi Kurallari | Dograma 120cm uzeri | 3 mentese | Kanat mentese sayisi
Kanat/Kapi Kurallari | Cephe 120cm alti | 4 makas | Cephe kanat makas sayisi
Kanat/Kapi Kurallari | Cephe 120cm uzeri | 3 makas | Cephe kanat makas sayisi
Kanat/Kapi Kurallari | 160cm gecen kanat | Uyari verilir | Boyut uyarisi
Kanat/Kapi Kurallari | 190cm uzeri | Kapi statusu | Kanat degil kapi olarak islenir
Kanat/Kapi Kurallari | Secim Kurali | Kucukte ince kanat, buyukte kapi profili | Otomatik profil secimi
Kanat/Kapi Kurallari | Derinlik | Yatay 86mm, Dikey statik 100/120/150mm | Standart derinlik degerleri
Kanat/Kapi Kurallari | Kapi 210cm | 3 mentese | Kapi mentese sayisi
Kanat/Kapi Kurallari | Cift Kapi | Alt-ust 2 surgu | Cift kapi donanimi

Fitil/Silikon/Klips | Fitil | 3 sira: Kasa, ic, cita | Onden 2 sira: cam oturma, 20mm gaga fitil
Fitil/Silikon/Klips | Klips | On gaga 20mm bosluk, 30cm de 1 vida klips, 5cm cam pabuc | Klips uygulama kurali
Fitil/Silikon/Klips | Silikon | Metraj: grid dis kenar cita uzunlugu | Cikti: kutu tup tuketimi

Fiyat ve Agirlik | Dikey Profil | 2 kg/m | Profil agirlik katsayisi
Fiyat ve Agirlik | Yatay Profil | 1 kg/m | Profil agirlik katsayisi
Fiyat ve Agirlik | Aluminyum | 500 TL/kg | Birim fiyat (varsayilan - eksikse kullanicidan istenir)
Fiyat ve Agirlik | Cam | 500 TL/m2 | Birim fiyat (varsayilan - eksikse kullanicidan istenir)
Fiyat ve Agirlik | Cevre | Cift sira | Cevre hesap kurali
Fiyat ve Agirlik | Toplam Hesap | Profil kg x uzunluk + cita + etek + donanim bedelleri | Genel maliyet formulu

Protokol | CEPHEHESAPLA | Genislik, Yukseklik, Dusey, Yatay, Kanat, Kapi = m, m2 | Komut protokolu
Rapor Ciktisi | Alanlar | Alan m2, Dikey m, Yatay m, Kanat m, Kapi m, Profil kg, Cam TL, Alu TL, Toplam TL | Rapor satir kalemleri
